Collection,Subfamily,LM,WP,WI,WD,HP,HI,HD
1,Alcelaphinae,65.3,20.9,15,18.7,25.9,19,15.7
2,Alcelaphinae,62.8,19.1,14,18.2,25.3,19.9,15
3,Alcelaphinae,54,19.2,15.5,18.5,24.4,19,15
4,Alcelaphinae,54,16.9,13.5,15.6,22,16.9,13.2
5,Alcelaphinae,56.1,18.9,16.6,17.6,25.2,19.8,14.2
6,Alcelaphinae,56.9,19.7,17.2,17.6,24.9,21.4,15.7
7,Alcelaphinae,74,21.7,16.3,19.3,27.1,23,17
8,Alcelaphinae,69.5,21.4,15.7,19,26.3,19.5,16.3
9,Alcelaphinae,67.2,21.6,16.3,19.1,26.2,20,16.5
10,Alcelaphinae,57.8,20,16.8,17.8,23.8,18.4,13.9
11,Alcelaphinae,55.1,20.3,15.7,19.6,23.6,18.7,14.9
12,Alcelaphinae,50.8,19.6,15.3,17.5,23,16.8,14.3
13,Alcelaphinae,53.3,21.6,18.1,20.3,25.7,18.8,13.8
14,Alcelaphinae,62,22,19.3,21.8,27.4,19.7,16
15,Alcelaphinae,61.1,22.9,17.2,21.9,27.4,20.1,16.5
16,Alcelaphinae,58.8,23.1,16.9,19.3,25.6,19,15.7
17,Alcelaphinae,56.1,20.7,15.5,20.1,24.5,18.3,15
18,Alcelaphinae,57.6,22.1,17,19.7,26.6,19.6,16.2
19,Alcelaphinae,50.1,15.5,10.8,13.8,19.3,14.5,12
20,Alcelaphinae,43.7,15.6,11.5,13.9,19.8,14.4,11.2
21,Alcelaphinae,51,15.9,10,13.7,19.1,14.6,11.6
22,Alcelaphinae,50.3,14.8,10.7,13.5,18.2,14.1,11.5
23,Alcelaphinae,43,15.5,11.4,13,19.8,15,11.4
24,Alcelaphinae,45.2,14.9,11.1,12.9,19.7,14.6,11
25,Alcelaphinae,51.1,16.6,12.9,14.5,20,15.9,12.3
26,Alcelaphinae,58.8,17.2,13.2,15,22.1,15.5,13
27,Alcelaphinae,62,20.2,14.5,18.2,24.8,19.3,14.8
28,Alcelaphinae,53.5,18.3,14.5,16.5,23.2,17.8,13.4
29,Alcelaphinae,53.1,19,14.2,16.8,21.9,18.1,12.9
30,Alcelaphinae,68.5,21.6,15.4,18.7,25.8,19.5,15.6
31,Antilopinae,48.6,9.6,8.4,10,15.7,11.1,10.3
32,Antilopinae,49,10.6,9.3,10,16.6,11.6,10
33,Antilopinae,50.2,10.6,8.8,10.2,16,11.2,10.1
34,Antilopinae,38.4,11.6,8.8,10.1,15.4,11.2,9.4
35,Antilopinae,33.8,10.2,7.6,8.9,13.2,10.1,8.7
36,Antilopinae,51.4,10.1,7.9,9.6,16,10.9,10.1
37,Antilopinae,39,11.2,8.9,9.7,14.3,11,9.3
38,Antilopinae,44.9,14.8,10.9,11.6,18.9,14.7,11.9
39,Antilopinae,53.6,12.9,10.2,11.8,18.8,13.4,12
40,Antilopinae,55.5,13.2,10.3,11.5,19.6,14.4,12.2
41,Antilopinae,56.7,12.8,10.3,11.6,18.1,12.4,11.5
42,Antilopinae,56.8,13.4,10.6,11.7,18,13.4,11.8
43,Antilopinae,45.2,12.7,9.7,10.8,16.6,12.4,10.4
44,Antilopinae,47,12.8,10.1,11.7,17.6,12.9,11.2
45,Antilopinae,31.2,9.6,6.4,7.5,11.9,8.8,7.2
46,Antilopinae,37.5,8.9,7.4,8,12.9,8.9,8.3
47,Antilopinae,32.6,10.6,8,8.6,13.2,10,8.2
48,Antilopinae,32.6,9.8,7.7,8.4,12.5,9.5,7.8
49,Antilopinae,34.8,9.8,9.5,9.6,14.8,10.9,8.6
50,Antilopinae,59.1,11.1,9.6,11.1,18.9,12.1,11.7
51,Antilopinae,49.3,10.7,8.1,9.6,16.3,10.9,9.4
52,Antilopinae,40.4,12.1,9.5,10.3,16,12.4,10.3
53,Antilopinae,18.6,5.1,4.4,4.6,6.7,4.9,4.4
54,Antilopinae,14.4,4.6,3.9,4,6.2,4.6,3.3
55,Antilopinae,14.4,4,3.6,3.8,6,4.1,3.5
56,Antilopinae,37.5,8.2,7,8,9.8,8.6,7.5
57,Antilopinae,32.3,9.5,7.6,8.6,12.7,9.5,7.8
58,Antilopinae,38,9.2,7,8,12.3,9,8.5
59,Antilopinae,34.9,7.3,6.1,7.1,9.6,8.5,7
60,Antilopinae,30.8,8.6,7.3,7.5,10.7,9,6.7
61,Antilopinae,30.2,9.4,7.7,8.5,12.7,9.7,7.5
62,Antilopinae,34.5,7.7,6.4,7.2,11.9,8.2,7.2
63,Antilopinae,45.6,9.1,6.6,7.8,13,8.6,7.8
64,Antilopinae,26.6,7.2,6.2,6.9,9.6,8.1,6.8
65,Antilopinae,24,7.1,5.5,6.4,8.8,6.8,6
66,Bovinae,49.5,14.2,12.9,13.8,22.4,16.3,13
67,Bovinae,54.7,13.9,12.3,13.3,21.6,15.3,11.8
68,Bovinae,55.9,14.3,12.5,13.4,21.6,17.2,12.4
69,Bovinae,55.4,20.1,17.8,19.6,28.3,22.7,17.1
70,Bovinae,51.4,18.2,16.2,17.8,26.3,21.5,15.5
71,Bovinae,57.8,21.5,19.6,20.8,30.2,23.8,17.7
72,Bovinae,59.5,22.6,19.5,22,26.7,20.9,15.3
73,Bovinae,52.6,21.3,22.3,22.1,28.5,24.4,16
74,Bovinae,49.9,18.6,18.8,18.4,25.5,20.9,14
75,Bovinae,55.4,20.9,20.7,20.2,26.5,23.1,15.5
76,Bovinae,57.1,22.6,21.5,23.2,28.9,25.3,16.2
77,Bovinae,58.6,24,22.2,21.7,30.8,24.6,18.9
78,Bovinae,59.7,21,21,20.5,29.7,22.4,18
79,Bovinae,63.6,23.2,23.5,22.6,30.7,25.2,18.6
80,Bovinae,55.1,20.4,20.2,20.7,27.3,23,15.7
81,Bovinae,54.9,15.1,13.9,14.1,21.9,17.3,12.7
82,Bovinae,50.1,14.1,12.9,13.2,20.4,16.2,11.8
83,Bovinae,53.3,14.9,14,14.1,21.3,17.1,12.7
84,Bovinae,45.3,12.5,11.1,12.1,17.2,14,10.9
85,Bovinae,72,31.1,28.8,30.9,35.3,30,22.9
86,Bovinae,66.8,27.1,25.2,27.6,34.3,29.1,21.2
87,Bovinae,68.2,29,25.9,28.4,35.2,29.2,21.2
88,Bovinae,67.3,28.2,24.6,28.4,33.7,26.5,21.1
89,Bovinae,67.7,26.7,24.8,25.4,36,27.9,18.9
90,Bovinae,73.7,31.4,29,30,37.6,31.2,23.1
91,Bovinae,68.9,27,26.5,26.7,34.9,28.1,19.5
92,Bovinae,70.4,27.5,24,24.9,36.5,27.5,18.7
93,Bovinae,69.4,29,25,28.8,34,27.9,21.3
94,Bovinae,67.2,29.4,26.4,27.5,34.6,26.8,20.7
95,Bovinae,69.7,26.1,25.2,26,37.6,25.4,20.2
96,Bovinae,50.1,9.7,7.9,9.7,16.1,11.2,9.3
97,Bovinae,36.8,10.7,10.5,9.9,17.1,12.9,8.5
98,Bovinae,33.4,9.6,8.4,9.3,13.8,10.5,8.1
99,Bovinae,50.5,11.7,11.3,11.8,17.7,12.9,11.4
100,Bovinae,36.4,10.2,9.9,9.6,15.6,11.8,9.4
101,Bovinae,36.5,10.3,9.3,9.8,15.8,12.4,9
102,Bovinae,40,10.8,10.1,10.4,17.1,13.4,9.4
103,Bovinae,39.9,11.8,11.8,11.5,18,13.9,10.4
104,Bovinae,44.6,12,11,11.6,18.7,14.8,10.3
105,Bovinae,40,11.76,11.2,10.8,16.6,13.3,9.8
106,Bovinae,48.3,13.8,12,12.5,20.4,16.4,11.3
107,Bovinae,56.6,16.5,15.6,15,23.9,18.2,13.7
108,Bovinae,58.5,15.4,14.7,15.5,21.4,18,12.4
109,Bovinae,49.5,15.6,15.3,15.8,21.8,18.1,13
110,Bovinae,43.2,13.4,12.7,11.8,17.8,14.6,10.5
111,Bovinae,41.2,13,10.4,10.7,16.9,12.8,10.7
112,Bovinae,65.6,17.7,15.4,16.7,28.3,19.7,14.9
113,Bovinae,69.2,18.4,16.9,18.3,29.1,20.9,16.2
114,Bovinae,51.6,14.7,13.5,14.4,22.6,16.9,12
115,Bovinae,68.3,19,17.7,19.6,30.4,22.5,16.7
116,Bovinae,67.8,21.1,19.9,21.7,30.5,23.5,17.9
117,Bovinae,62.2,18.1,15.8,17.7,27.8,18.9,15.9
118,Bovinae,60.8,18,16.3,17.8,27.5,20.4,15.5
119,Bovinae,74,21.4,21.5,22,33.5,25,19.5
120,Bovinae,70.2,19.5,19.7,20.5,30.4,23.5,18.4
121,Hippotraginae,47.9,18.1,14,17.4,18.2,13.7,10.9
122,Hippotraginae,51,18.9,14.6,17.8,18.3,15.3,12.9
123,Hippotraginae,46.9,17.8,14.2,16.9,18.7,13.7,12.4
124,Hippotraginae,46.2,18.1,14.5,17.9,19.9,14.8,11.3
125,Hippotraginae,65.4,23.2,19,21.3,27.5,22.5,17
126,Hippotraginae,66,23.4,19.4,21.3,27,22,16.6
127,Hippotraginae,56.7,20.7,17.2,20.9,25,19.7,14.6
128,Hippotraginae,55.8,20.8,16.7,19.1,25,20.8,14.7
129,Hippotraginae,67.4,23.3,19.7,21.5,26,21.2,16.5
130,Hippotraginae,56.1,18.9,15.8,17.1,21,16,13.6
131,Hippotraginae,56.3,18.6,15.7,18.6,20.2,16.2,13.9
132,Hippotraginae,51.3,16.9,14.9,16.7,19.6,15.7,11.8
133,Hippotraginae,58.5,22.9,21.2,22.4,26.8,21.2,16.1
134,Hippotraginae,54.5,20.2,18.1,20.7,25.3,19.1,14.8
135,Hippotraginae,55.2,20.5,18.6,19.9,25.2,19.6,14.9
136,Hippotraginae,56.9,21.9,18.4,21.2,23.9,20,15.2
137,Reduncinae,61.5,22.5,18.9,23.5,29.7,21.1,16.9
138,Reduncinae,58.1,22.6,19,22.3,25.3,19.5,16.2
139,Reduncinae,58.3,21.7,18.8,20.8,26.4,20.8,16.6
140,Reduncinae,53.9,20.1,17.2,18.2,24.4,18.1,14.9
141,Reduncinae,58.9,20.2,17.9,20,25.1,19.6,14.4
142,Reduncinae,45.9,14.8,12.4,14.9,20.3,15.5,10.9
143,Reduncinae,52.8,16,13.4,15.2,22,16.5,11.6
144,Reduncinae,46.1,15.8,12.6,15,19.7,14.6,10.7
145,Reduncinae,49,15.2,11.1,14.7,20,12.9,10.6
146,Reduncinae,49.1,17.2,14,16.4,20.6,17.3,12.1
147,Reduncinae,50.5,14.6,12,14.2,20.6,15.4,11.3
148,Reduncinae,46.3,15,11.6,14.1,19,14.5,10.7
149,Reduncinae,49.1,17.2,14,16.4,20.6,17.3,12.1
150,Reduncinae,54.2,17.5,15,16,20.9,16.3,11.9
151,Reduncinae,52.3,15.8,12.5,15.2,20.2,13.4,10.5
152,Reduncinae,43,12.4,10.7,11.4,18.9,13.5,10.9
153,Reduncinae,51.8,13.4,10.7,12.2,19.3,13.6,10.6
154,Reduncinae,54.4,12.9,9.1,12.3,18.6,12.1,10.7
155,Reduncinae,56.7,14.4,10.6,12.4,21.3,13.7,11.6
156,Reduncinae,51.5,14.2,11.2,13.2,19.9,13.6,11.4
157,Reduncinae,39.8,10.7,7.7,9.8,14.5,10.6,9.1
158,Reduncinae,35.8,11.5,8.6,10.4,14.2,11.2,9
159,Reduncinae,36.5,10.6,8.5,9.6,14.2,10.4,9.2
160,Reduncinae,36.6,10.7,8,9.7,14.3,10,8.8
161,Reduncinae,36.1,10.9,8.8,10.1,14.6,11,9.5
162,Reduncinae,36.4,10.4,7.9,9.4,14.7,10.3,9
163,Reduncinae,39.6,11.4,8.7,10.4,15.7,10.6,9.6
164,Reduncinae,47.1,12.5,9.4,11.3,17,12,10
165,Reduncinae,44.5,12,9.3,11.3,16.8,12.1,10.2
17P61A,,54.395,18.815,17.87,18.465,22.165,21.77,14.99
40P30A,,52.805,18.105,17.345,18.325,,20.28,15.805
23P63A,,49.73,19.23,17.685,17.145,,19.62,16.805
15P11B,,48.84,17.01,14.805,15.415,17.485,17.475,12.805
11P47A,,37.84,12.24,9.96,9.765,14.66,12.82,9.56
90P109A,,38.5,12,10.25,11.26,,13.07,10.67
17P29A,,41.75,13.54,11.4,12.55,16.11,13.415,11.11
64P34A,,37.19,11.1,9.89,10.13,14.165,11.965,9.855
137P34A,,35.7,11.6,10.4,9.945,13.34,11.47,9.64
13P109A,,36.41,11.185,9.83,9.82,13.555,12.195,10.685
24P63A,,40.01,12.41,10.775,11.07,13.795,12.59,9.625
27P34A,,38.7,12.45,11.115,11.225,13.8,13.025,9.78
18P61A,,40.4,11.88,10.43,10.235,13.55,13.19,10.895
12P31A,,44.09,12.595,10.93,11.025,14.275,12.975,10.945
59P5A,,39.745,12.615,9.815,10.16,13.94,12.51,9.755
28P63A,,37.095,12.065,8.89,10.465,12.71,11.95,9.75
71P60A,,39.995,11.645,9.89,10,13.935,12.61,10.215
19P60A,,39.295,12.515,10.005,11.185,11.69,11.155,9.385
45P60A,,40.46,11.075,9.07,9.7,14.445,12.94,9.49
44P60A,,38.41,10.36,7.96,9.815,13.565,11.715,9.015
178P11A,,38.355,11.7525,10.2475,11.3575,15.7725,12.86,11.3275
91P11A,,37.175,11.25,9.825,9.98,14.285,12.82,10.2
3P47A,,39.48,12.09,10.095,10.515,13.24,12.665,9.81
158P16A,,38.33,12.675,10.945,11.07,14.54,13.055,9.995
382P34A,,35.365,11.11,8.99,9.505,12.595,10.815,8.84
60P11A,,51.025,16.55,15.2,17.03,,19.24,12.52
12P47A,,38.02,10.82,10.24,10.31,13.94,11.68,
90P11A,,34.195,11.405,9.405,10.125,13.715,12.005,8.93
1P85B,,34.51,10.775,8.885,9.09,12.115,11.58,8.355
162P34A,,34.64,11.915,9.33,10.73,13.7,11.975,9.13
85P109A,,39.105,12.635,10.865,10.78,13.44,13.525,10.545
89P11A,,39.095,12.245,9.805,10.58,15.235,14.45,10.045
61P99A,,36.94,10.805,9.275,9.715,11.805,12.32,9.035
345P28A,,40.735,11.485,9.815,10.75,15.48,12.88,9.725
62P99A,,42.29,12.53,11.035,11.335,15.71,14.79,10.955
6P36A,,41.13,12.335,10.03,11.09,13.515,12.855,9.705
205P16A,,36.275,10.47,9.245,8.755,12.61,11.385,8.625
5P208A,,41.535,11.6,9.95,11.045,14.575,12.695,9.92
46P28B,,39.105,11.48,11,10.535,13.96,12.605,9.555
54P17A,,39.99,13.045,10.79,12.075,14.35,13.79,10.96
7P208A,,39.5,12.055,9.965,10.385,13.935,12.945,10.78
77P27,,36.305,11.215,9.195,10.1,12.955,11.285,9.785
59P17A,,40.37,12.895,10.69,11.14,14.025,12.635,9.915
31P14A,,45.07,14.38,10.895,12.705,15.235,14.62,11.96
139P32A,,45.595,16.64,13.56,15.3,18.765,15.255,12.13
41P99A,,35.29,11.465,8.93,10.35,12.415,11.705,10.15
35P106A,,,,9.41,8.67,,10.095,8
61P11A,,40.295,12.68,10.445,11.295,,12.42,9.705
25P38B,,30.685,10.54,8.21,8.97,11.83,10.485,9.035
4OP49A,,38.37,13.595,11.005,10.955,13.53,12.515,10.535
63P49A,,42.595,14.59,12.945,10.735,17.075,14.58,
36P62A,,44,14.92,12.545,10.925,15.175,14.81,11.005
37P62A,,36.01,12.045,8.96,10.155,12.755,12.425,9.25
54P65A,,38.38,13.065,10.1,9.965,14.555,12.79,9.995
48P103A,,38.29,12.225,9.98,10.19,13.73,12.305,9.275
1P98A,,35.64,9.16,8.83,9.36,12.3,11.3,9.89
106P16A,,40.88,13.66,10.39,10.72,14.64,13.72,11.22
40P106,,51.1,18.65,14.84,15.75,,16.32,13.47
207P65,,19.85,3.55,1.55,1.77,4.75,2.97,1.2
125P32A,,41.68,14.41,9.34,9.71,13.45,11.8,10.88
107P61A,,38.32,12.5,8.61,10.34,12.84,21.53,9.61
